agent_id,step,n_episodes,survival_rate,wipe_rate,corner_rate,avg_duration,avg_reward
2,150000,5000,0.9642,0.0006,0.0,96.85,9.3232
2,155000,5000,0.961,0.001,0.0,94.68,9.0737
2,160000,5000,0.9526,0.0014,0.0,93.76,8.897
2,165000,5000,0.965,0.0006,0.0,95.65,9.2116
2,170000,5000,0.9612,0.0004,0.0,96.62,9.2703
2,175000,5000,0.9648,0.0004,0.0,95.15,9.2341
2,180000,5000,0.9564,0.002,0.0,91.03,8.6624
2,185000,5000,0.954,0.002,0.0,90.39,8.5741
2,190000,5000,0.9558,0.0014,0.0,94.04,8.9579
2,195000,5000,0.9502,0.0002,0.0,94.62,8.9592
2,200000,5000,0.9692,0.0004,0.0,95.55,9.2419
2,205000,5000,0.9672,0.0004,0.0,96.99,9.3678
2,210000,5000,0.9754,0.0006,0.0,97.26,9.4792
2,215000,5000,0.9674,0.001,0.0,95.69,9.2401
2,220000,5000,0.9688,0.0004,0.0,97.0,9.3844
2,225000,5000,0.9698,0.0002,0.0,97.54,9.449
2,230000,5000,0.9448,0.0004,0.0,94.04,8.8462
2,235000,5000,0.9706,0.0004,0.0,96.78,9.3812
2,240000,5000,0.963,0.0008,0.0,93.51,8.9769
2,245000,5000,0.9688,0.0,0.0,98.03,9.4878
2,250000,5000,0.9678,0.0002,0.0,96.69,9.3439
2,255000,5000,0.9782,0.0002,0.0,98.94,9.6737
2,260000,5000,0.9624,0.002,0.0,94.04,9.0243
2,265000,5000,0.9636,0.0008,0.0,95.09,9.1413
2,270000,5000,0.9636,0.0008,0.0,96.65,9.2978
2,275000,5000,0.9574,0.001,0.0,96.84,9.2542
2,280000,5000,0.9744,0.0004,0.0,96.56,9.3976
2,285000,5000,0.9776,0.0004,0.0,97.42,9.5154
2,290000,5000,0.9752,0.0004,0.0,96.01,9.3508
2,295000,5000,0.9682,0.0006,0.0,96.57,9.3361
2,300000,5000,0.9574,0.0002,0.0,95.86,9.1556
3,5000,5000,0.1948,0.0208,0.0,1.56,-7.9761
3,10000,5000,0.256,0.0254,0.0,1.97,-7.3175
3,15000,5000,0.418,0.0226,0.0,4.62,-5.4166
3,20000,5000,0.606,0.0212,0.0,13.83,-2.5963
3,25000,5000,0.7816,0.0144,0.0,37.19,1.513
3,30000,5000,0.8588,0.0076,0.0,52.69,3.8531
3,35000,5000,0.8688,0.006,0.0,62.96,4.9706
3,40000,5000,0.9334,0.003,0.0,75.51,6.8784
3,45000,5000,0.936,0.0032,0.0,76.15,6.9684
3,50000,5000,0.9576,0.0016,0.0,89.36,8.5077
3,55000,5000,0.9584,0.0004,0.0,94.89,9.1106
3,60000,5000,0.9672,0.0008,0.0,95.45,9.2136
3,65000,5000,0.9676,0.0004,0.0,96.27,9.2995
3,70000,5000,0.973,0.0006,0.0,96.8,9.4073
3,75000,5000,0.9668,0.0008,0.0,93.94,9.0585
3,80000,5000,0.9662,0.0006,0.0,97.09,9.3673
3,85000,5000,0.95,0.0008,0.0,92.26,8.7318
3,90000,5000,0.97,0.0004,0.0,96.52,9.349
3,95000,5000,0.9754,0.0002,0.0,96.62,9.4131
3,100000,5000,0.9572,0.0004,0.0,95.23,9.0904
3,105000,5000,0.978,0.0004,0.0,98.26,9.6039
3,110000,5000,0.9672,0.0,0.0,97.53,9.4221
3,115000,5000,0.9814,0.0002,0.0,98.67,9.6792
3,120000,5000,0.9512,0.0,0.0,96.39,9.1465
3,125000,5000,0.976,0.0,0.0,98.3,9.5874
3,130000,5000,0.9766,0.0002,0.0,97.81,9.545
3,135000,5000,0.9816,0.0004,0.0,97.35,9.5587
3,140000,5000,0.967,0.0002,0.0,94.89,9.1554
3,145000,5000,0.971,0.0002,0.0,97.27,9.4914
3,150000,5000,0.9782,0.0002,0.0,99.09,9.6886
3,155000,5000,0.9734,0.0002,0.0,97.61,9.4923
3,160000,5000,0.9738,0.0002,0.0,96.42,9.3749
3,165000,5000,0.9734,0.0002,0.0,98.74,9.6053
3,170000,5000,0.977,0.0002,0.0,98.74,9.6414
3,175000,5000,0.9764,0.0004,0.0,98.14,9.6676
3,180000,5000,0.973,0.0002,0.0,97.44,9.4715
3,185000,5000,0.9578,0.0006,0.0,94.74,9.0479
3,190000,5000,0.9694,0.0002,0.0,96.65,9.3562
