step,mean_reward,mean_sub,implied_level
2000,99.89334106445312,0.5734851330518722,10.0
4000,99.90274047851562,0.4760949373245239,10.0
6000,99.29238891601562,0.34551970958709716,10.0
8000,99.77073669433594,0.3438908576965332,10.0
10000,99.29288482666016,0.7682373970746994,10.0
12000,99.939208984375,0.3468626767396927,10.0
14000,100.0,0.0,10.0
16000,99.35623168945312,0.7537638545036316,10.0
18000,99.64476013183594,0.5328608393669129,10.0
20000,99.15869140625,0.32578120082616807,10.0
22000,99.98440551757812,0.023397079110145567,10.0
24000,99.90921783447266,0.13617401123046874,10.0
26000,100.0,0.0,10.0
28000,99.61383056640625,0.579250556230545,10.0
30000,99.74987030029297,0.6726238608360291,10.0
32000,99.93490600585938,0.09763615727424621,10.0
34000,99.9415512084961,0.11361817121505738,10.0
36000,99.96331024169922,0.055031204223632814,10.0
38000,98.59851837158203,0.4824742615222931,10.0
40000,99.75383758544922,0.36923903226852417,10.0
42000,99.73687744140625,0.39468868970870974,10.0
44000,99.0380859375,0.5475165843963623,10.0
46000,99.92181396484375,0.11728173494338989,10.0
48000,100.0,0.0,10.0
50000,99.93722534179688,0.09416650533676148,10.0
52000,99.6689682006836,0.4965422868728638,10.0
54000,99.7986831665039,0.30197126865386964,10.0
56000,99.98309326171875,0.3688184142112732,10.0
58000,99.87564849853516,0.34121826887130735,10.0
60000,99.24840545654297,0.5145944356918335,10.0
62000,100.0,0.0,10.0
64000,99.97383117675781,0.039253509044647215,10.0
66000,99.9818115234375,0.1602971374988556,10.0
68000,99.31878662109375,0.5132076263427734,10.0
70000,99.59586334228516,0.6062015056610107,10.0
72000,99.8006591796875,0.2990079760551453,10.0
74000,99.38274383544922,0.6972094595432281,10.0
76000,99.94064331054688,0.08904024958610535,10.0
78000,99.76097106933594,0.4914355158805847,10.0
80000,99.7592544555664,0.055556321144104005,10.0
82000,99.90374755859375,0.14437470436096192,10.0
84000,99.87960815429688,0.3387148678302765,10.0
86000,99.9842300415039,0.02365316152572632,10.0
88000,99.9565200805664,0.06521618366241455,10.0
90000,99.9116439819336,0.13253607749938964,10.0
92000,99.91654205322266,0.12518794536590577,10.0
94000,99.82548522949219,0.2617764711380005,10.0
96000,99.75098419189453,0.42437141537666323,10.0
98000,99.91299438476562,0.13050594329833984,10.0
100000,98.989501953125,0.5308536052703857,10.0
102000,98.5890884399414,0.4281980812549591,10.0
104000,99.79981994628906,0.05660544633865357,10.0
106000,99.95498657226562,0.06751786470413208,10.0
108000,99.74427795410156,0.38358100652694704,10.0
110000,99.8590087890625,0.21148682832717897,10.0
112000,99.83087921142578,0.25368034839630127,10.0
114000,99.41358184814453,0.6999863624572754,10.0
116000,100.0,0.0,10.0
118000,100.0,0.0,10.0
120000,99.93701171875,0.09448001384735108,10.0
122000,100.0,0.0,10.0
124000,99.798583984375,0.30212295055389404,10.0
126000,99.92034149169922,0.11948918104171753,10.0
128000,99.86200714111328,0.2069949746131897,10.0
130000,99.98563385009766,0.021546292304992675,10.0
132000,100.0,0.0,10.0
134000,100.0,0.0,10.0
136000,99.78401947021484,0.3239751696586609,10.0
138000,99.96495819091797,0.052563488483428955,10.0
140000,99.93267059326172,0.10098907947540284,10.0
142000,99.8287582397461,0.49833184480667114,10.0
144000,100.0,0.0,10.0
146000,100.0,0.0,10.0
148000,100.0,0.0,10.0
150000,99.9793930053711,0.030909252166748048,10.0
152000,99.99527740478516,0.00708545446395874,10.0
154000,99.99090576171875,0.013635993003845215,10.0
156000,99.86084747314453,0.20872561931610106,10.0
158000,99.88275909423828,0.17586007118225097,10.0
160000,99.79657745361328,0.44088666439056395,10.0
162000,99.96342468261719,0.054868531227111814,10.0
164000,99.94151306152344,0.08772660493850708,10.0
166000,100.0,0.0,10.0
168000,99.95555877685547,0.06666568517684937,10.0
170000,99.78765106201172,0.31852030754089355,10.0
172000,100.0,0.0,10.0
174000,99.79170227050781,0.3124490737915039,10.0
176000,100.0,0.0,10.0
178000,99.9974136352539,0.0038741946220397947,10.0
180000,99.70540618896484,0.4418950080871582,10.0
182000,99.84495544433594,0.23256347179412842,10.0
184000,99.99922180175781,0.001162111759185791,10.0
186000,100.0,0.0,10.0
188000,99.7843017578125,0.32355308532714844,10.0
190000,99.95568084716797,0.06647303104400634,10.0
192000,99.251220703125,0.31908148527145386,10.0
194000,99.99049377441406,0.5487528920173645,10.0
196000,99.96192932128906,0.3445319175720215,10.0
198000,99.84223937988281,0.2366403579711914,10.0
200000,100.0,0.0,10.0
