step,n_episodes,wipe_rate,corner_rate,concede_rate,avg_duration,avg_alliances,avg_reward
5000,875,0.024,0.0,0.976,5.71,0.07,-3.3684
10000,424,0.0259,0.0024,0.9717,11.79,0.16,-2.457
15000,188,0.0426,0.0213,0.9362,26.15,0.24,-1.4481
20000,102,0.1176,0.1078,0.7745,49.09,0.35,1.1598
25000,52,0.0769,0.25,0.6731,97.17,0.58,1.9
30000,45,0.0889,0.3333,0.5778,108.98,0.69,2.5567
35000,17,0.0588,0.2353,0.7059,300.0,1.06,14.3088
40000,21,0.0,0.381,0.619,234.38,0.48,2.6976
45000,16,0.0,0.25,0.75,314.12,1.06,20.4
50000,21,0.0952,0.1905,0.7143,240.67,0.81,6.531
55000,31,0.129,0.3226,0.5484,154.03,0.81,5.9177
60000,16,0.1875,0.3125,0.5,294.38,0.56,13.4125
65000,18,0.1111,0.2778,0.6111,234.72,1.17,15.9111
70000,8,0.0,0.375,0.625,776.88,0.62,10.55
75000,9,0.0,0.5556,0.4444,442.22,0.56,6.7222
80000,10,0.2,0.4,0.4,545.2,1.0,31.03
85000,10,0.1,0.6,0.3,419.3,1.3,21.865
90000,11,0.0,0.2727,0.7273,473.18,1.09,54.5318
95000,5,0.0,0.4,0.6,1198.4,2.4,178.36
100000,5,0.0,0.8,0.2,1026.4,1.0,63.62
105000,9,0.0,0.3333,0.6667,474.22,1.11,37.95
110000,5,0.2,0.2,0.6,1170.0,1.0,44.52
115000,10,0.2,0.3,0.5,476.8,1.5,50.75
120000,16,0.125,0.4375,0.4375,285.88,0.75,13.6906
125000,8,0.0,0.5,0.5,692.38,0.62,23.3062
130000,10,0.5,0.2,0.3,348.3,0.5,24.31
135000,4,0.0,0.25,0.75,1442.75,1.25,73.1125
140000,6,0.3333,0.1667,0.5,830.17,1.17,34.2917
145000,13,0.2308,0.5385,0.2308,404.46,1.08,30.8038
155000,19,0.1579,0.4737,0.3684,552.89,1.16,48.5711
160000,21,0.1429,0.7143,0.1429,190.52,0.62,8.0452
165000,4,0.0,0.25,0.75,1233.25,1.0,27.95
170000,5,0.0,0.4,0.6,943.6,1.0,38.93
175000,3,0.0,0.3333,0.6667,1723.67,0.67,61.5167
180000,1,0.0,0.0,1.0,5807.0,3.0,885.95
185000,4,0.0,0.5,0.5,1229.5,1.75,124.2875
190000,6,0.3333,0.3333,0.3333,911.0,1.33,60.2333
195000,4,0.0,0.75,0.25,846.75,1.5,55.7625
200000,6,0.3333,0.5,0.1667,1080.0,0.67,51.3417
205000,9,0.0,0.7778,0.2222,516.67,0.44,11.2556
210000,10,0.0,0.6,0.4,409.6,1.0,19.785
215000,1,0.0,0.0,1.0,6034.0,0.0,-1.0
220000,2,0.0,0.5,0.5,2284.0,0.0,-0.375
5000,875,0.024,0.0,0.976,5.71,0.07,-3.3684
10000,424,0.0259,0.0024,0.9717,11.79,0.16,-2.457
15000,184,0.0326,0.0163,0.9511,25.98,0.26,-1.6293
20000,104,0.1058,0.0673,0.8269,39.47,0.53,0.7702
25000,66,0.0455,0.1364,0.8182,59.26,0.52,-0.1788
30000,45,0.1333,0.1778,0.6889,53.11,0.29,1.1178
35000,27,0.037,0.2593,0.7037,87.3,0.59,1.0796
40000,21,0.2381,0.2857,0.4762,53.24,0.67,3.5119
45000,17,0.0588,0.3529,0.5882,88.12,0.47,0.3088
50000,18,0.1667,0.2222,0.6111,85.39,0.5,2.8667
55000,19,0.0526,0.1579,0.7895,72.95,0.53,-0.3553
60000,18,0.0,0.3889,0.6111,77.5,0.33,-0.9333
65000,16,0.1875,0.3125,0.5,96.88,0.56,3.0375
70000,20,0.3,0.35,0.35,87.6,0.5,5.93
75000,9,0.0,0.2222,0.7778,95.11,0.44,-0.1611
80000,10,0.5,0.3,0.2,65.2,0.5,9.71
85000,10,0.3,0.6,0.1,59.4,0.5,5.03
90000,2,0.0,1.0,0.0,183.5,2.0,10.625
95000,7,0.1429,0.1429,0.7143,65.43,0.57,1.5714
100000,13,0.1538,0.5385,0.3077,81.92,0.62,3.0462
105000,7,0.7143,0.0,0.2857,74.57,0.43,16.0071
110000,7,0.4286,0.2857,0.2857,61.43,0.29,6.3929
115000,12,0.25,0.3333,0.4167,78.83,0.42,4.5542
120000,11,0.1818,0.3636,0.4545,92.36,0.64,3.6682
125000,8,0.125,0.5,0.375,84.75,0.62,2.2625
130000,6,0.5,0.3333,0.1667,85.33,0.17,8.7083
135000,13,0.2308,0.5385,0.2308,71.62,0.38,5.0192
140000,7,0.2857,0.5714,0.1429,119.14,1.14,9.4071
145000,8,0.5,0.375,0.125,55.25,0.38,9.4188
150000,8,0.625,0.375,0.0,64.0,0.5,13.5438
155000,6,0.5,0.3333,0.1667,71.83,0.33,9.6167
160000,13,0.3077,0.6154,0.0769,70.46,0.85,7.2808
165000,11,0.6364,0.1818,0.1818,37.73,0.27,12.0182
170000,2,0.5,0.0,0.5,80.5,0.5,9.8
175000,10,0.5,0.3,0.2,86.3,0.7,10.48
