agent_id,step,n_episodes,survival_rate,wipe_rate,corner_rate,avg_duration,avg_reward
1,5000,5000,0.1964,0.0344,0.0,1.5,-7.9663
1,10000,5000,0.2746,0.0424,0.0,2.12,-7.115
1,15000,5000,0.5092,0.0466,0.0,5.56,-4.401
1,20000,5000,0.6912,0.0316,0.0,17.55,-1.3637
1,25000,5000,0.8174,0.0194,0.0,39.12,2.0675
1,30000,5000,0.9054,0.0102,0.0,59.73,5.0173
1,35000,5000,0.945,0.0058,0.0,79.35,7.3796
1,40000,5000,0.9386,0.0054,0.0,80.87,7.4672
1,45000,5000,0.9566,0.0034,0.0,87.22,8.284
1,50000,5000,0.9592,0.0016,0.0,92.81,8.8689
1,55000,5000,0.961,0.0014,0.0,93.14,8.9203
1,60000,5000,0.9732,0.0004,0.0,97.63,9.4921
1,65000,5000,0.97,0.0008,0.0,95.24,9.2208
1,70000,5000,0.9758,0.0014,0.0,95.56,9.3121
1,75000,5000,0.9764,0.0008,0.0,95.55,9.3166
1,80000,5000,0.9718,0.0006,0.0,96.13,9.3285
1,85000,5000,0.9694,0.0006,0.0,96.04,9.2953
1,90000,5000,0.9456,0.0008,0.0,92.46,8.6965
1,95000,5000,0.9558,0.0018,0.0,91.28,8.6817
1,100000,5000,0.9656,0.0012,0.0,93.05,8.9578
1,105000,5000,0.9728,0.0008,0.0,95.77,9.302
1,110000,5000,0.9586,0.0006,0.0,95.75,9.1565
1,115000,5000,0.9754,0.0002,0.0,98.0,9.5511
1,120000,5000,0.9758,0.001,0.0,95.11,9.2668
1,125000,5000,0.9706,0.0006,0.0,96.81,9.3844
1,130000,5000,0.9778,0.0002,0.0,98.54,9.6297
1,135000,5000,0.9664,0.0016,0.0,93.18,8.9785
1,140000,5000,0.969,0.0014,0.0,94.44,9.1309
1,145000,5000,0.9714,0.0002,0.0,97.75,9.486
1,150000,5000,0.9692,0.0,0.0,97.91,9.4798
1,155000,5000,0.9634,0.0002,0.0,97.33,9.363
1,160000,5000,0.9676,0.0012,0.0,94.95,9.1679
1,165000,5000,0.969,0.0006,0.0,97.92,9.4789
1,170000,5000,0.9722,0.0002,0.0,98.43,9.5625
1,175000,5000,0.9838,0.001,0.0,96.83,9.5253
1,180000,5000,0.9776,0.0008,0.0,94.92,9.2654
1,185000,5000,0.9726,0.0006,0.0,96.07,9.3304
1,190000,5000,0.963,0.0002,0.0,96.74,9.3006
1,195000,5000,0.9728,0.0,0.0,98.26,9.5508
1,200000,5000,0.9584,0.0004,0.0,96.5,9.2294
1,205000,5000,0.9592,0.0004,0.0,95.26,9.114
1,210000,5000,0.9746,0.0002,0.0,97.5,9.4934
1,215000,5000,0.966,0.0004,0.0,96.05,9.2616
1,220000,5000,0.969,0.0002,0.0,97.73,9.4594
1,225000,5000,0.9726,0.0002,0.0,98.08,9.5312
1,230000,5000,0.9744,0.0,0.0,98.9,9.6315
1,235000,5000,0.9796,0.0004,0.0,96.55,9.4485
1,240000,5000,0.9648,0.0004,0.0,97.48,9.392
1,245000,5000,0.955,0.0002,0.0,96.65,9.2102
